timeout,schedule
1,solvitaire(1.0)
2,solvitaire(1.3) -> relaxed(0.7)
3,solvitaire(0.9) -> relaxed(0.7) -> solvitaire(1.4)
4,solvitaire(1.2) -> relaxed(1.2) -> solvitaire(1.6)
5,solvitaire(1.2) -> relaxed(0.9) -> solvitaire(2.7) -> strict(0.1) -> without-worrying-back(0.1)
6,solvitaire(1.2) -> relaxed(0.9) -> solvitaire(3.9)
7,solvitaire(1.2) -> relaxed(0.9) -> solvitaire(4.9)
8,solvitaire(0.5) -> relaxed(6.9) -> solvitaire(0.6)
9,solvitaire(2.1) -> relaxed(1.2) -> solvitaire(5.5) -> strict(0.1) -> without-worrying-back(0.1)
10,solvitaire(1.2) -> relaxed(7.2) -> solvitaire(1.6)
12,solvitaire(0.4) -> relaxed(11.0) -> solvitaire(0.6)
16,solvitaire(2.1) -> relaxed(11.0) -> solvitaire(2.9)
20,solvitaire(2.2) -> relaxed(11.0) -> solvitaire(6.8)
24,solvitaire(2.1) -> relaxed(12.0) -> solvitaire(9.9)
28,solvitaire(2.1) -> relaxed(22.0) -> solvitaire(3.9)
30,solvitaire(2.1) -> relaxed(18.0) -> solvitaire(9.9)
50,solvitaire(2.1) -> relaxed(42.0) -> solvitaire(5.9)
70,solvitaire(3.9) -> relaxed(12.0) -> without-worrying-back(50.0) -> solvitaire(4.1)
90,solvitaire(13.0) -> relaxed(13.0) -> without-worrying-back(50.0) -> solvitaire(14.0)
110,solvitaire(18.0) -> relaxed(12.0) -> without-worrying-back(58.0) -> solvitaire(22.0)
130,solvitaire(18.0) -> relaxed(13.0) -> without-worrying-back(80.0) -> solvitaire(19.0)
150,solvitaire(18.0) -> relaxed(13.0) -> without-worrying-back(100.0) -> solvitaire(19.0)
170,solvitaire(11.0) -> relaxed(6.9) -> without-worrying-back(140.0) -> solvitaire(12.1)
180,solvitaire(13.0) -> relaxed(11.0) -> without-worrying-back(140.0) -> solvitaire(16.0)
360,solvitaire(18.0) -> relaxed(11.0) -> without-worrying-back(260.0) -> solvitaire(71.0)
540,solvitaire(18.0) -> relaxed(11.0) -> without-worrying-back(490.0) -> solvitaire(21.0)
900,solvitaire(18.0) -> relaxed(59.0) -> without-worrying-back(250.0) -> solvitaire(573.0)
1080,solvitaire(18.0) -> relaxed(11.0) -> without-worrying-back(1020.0) -> solvitaire(31.0)
1260,solvitaire(18.0) -> relaxed(11.0) -> without-worrying-back(380.0) -> solvitaire(850.0) -> strict(1.0)
1440,solvitaire(18.0) -> relaxed(13.0) -> without-worrying-back(1390.0) -> solvitaire(19.0)
1620,solvitaire(18.0) -> relaxed(1400.0) -> without-worrying-back(180.0) -> solvitaire(22.0)
1800,solvitaire(18.0) -> relaxed(20.0) -> without-worrying-back(1740.0) -> solvitaire(22.0)
1980,solvitaire(18.0) -> relaxed(11.0) -> without-worrying-back(1930.0) -> solvitaire(21.0)
2160,solvitaire(18.0) -> relaxed(12.0) -> without-worrying-back(870.0) -> solvitaire(1260.0)
2340,solvitaire(18.0) -> relaxed(11.0) -> without-worrying-back(2290.0) -> solvitaire(21.0)
2520,solvitaire(18.0) -> relaxed(25.0) -> without-worrying-back(760.0) -> solvitaire(1717.0)
2700,solvitaire(18.0) -> relaxed(2290.0) -> without-worrying-back(190.0) -> solvitaire(202.0)
2880,solvitaire(18.0) -> relaxed(18.0) -> without-worrying-back(2780.0) -> solvitaire(64.0)
3060,solvitaire(18.0) -> relaxed(13.0) -> without-worrying-back(3010.0) -> solvitaire(19.0)
3240,solvitaire(18.0) -> relaxed(11.0) -> without-worrying-back(3150.0) -> solvitaire(61.0)
3420,solvitaire(18.0) -> relaxed(3240.0) -> without-worrying-back(140.0) -> solvitaire(22.0)
3600,solvitaire(18.0) -> relaxed(3420.0) -> without-worrying-back(140.0) -> solvitaire(22.0)
